Step,AgentID,State,DistrictID
2,75,Susceptible,7
2,15,Susceptible,5
2,48,Infected,22
2,76,Exposed,22
2,63,Susceptible,19
2,67,Infected,9
2,72,Exposed,20
2,68,Infected,1
2,73,Infected,15
2,70,Infected,4
2,23,Infected,6
2,31,Infected,15
2,27,Infected,2
2,28,Susceptible,17
2,22,Infected,20
2,41,Infected,21
2,60,Exposed,14
2,9,Susceptible,16
2,69,Infected,9
2,87,Infected,6
2,5,Infected,2
2,46,Susceptible,2
2,57,Infected,14
2,10,Susceptible,9
2,12,Susceptible,21
2,6,Infected,13
2,2,Infected,22
2,53,Exposed,5
2,88,Susceptible,11
2,8,Susceptible,16
2,47,Susceptible,4
2,49,Infected,22
2,34,Susceptible,15
2,77,Infected,2
2,29,Infected,1
2,83,Infected,5
2,18,Infected,15
2,43,Susceptible,16
2,14,Infected,8
2,16,Susceptible,20
2,0,Infected,6
2,55,Susceptible,3
2,74,Infected,14
2,42,Infected,8
2,82,Infected,14
2,81,Infected,2
2,37,Infected,10
3,37,Infected,9
3,3,Susceptible,8
3,28,Exposed,16
3,14,Infected,23
3,30,Infected,8
3,45,Susceptible,16
3,40,Infected,21
3,32,Infected,16
3,46,Susceptible,23
3,7,Infected,5
3,66,Susceptible,23
3,31,Infected,0
3,42,Infected,15
3,35,Exposed,3
3,84,Infected,14
3,19,Susceptible,18
3,54,Susceptible,19
3,8,Susceptible,24
3,0,Infected,10
3,49,Infected,1
3,80,Infected,22
3,5,Infected,8
3,48,Infected,23
3,12,Susceptible,4
3,10,Susceptible,22
3,21,Infected,2
3,73,Infected,11
3,85,Infected,12
3,64,Susceptible,20
3,11,Susceptible,18
3,83,Infected,13
3,33,Susceptible,10
3,74,Infected,22
3,87,Infected,11
3,70,Infected,8
3,71,Susceptible,5
3,6,Infected,15
3,78,Infected,18
3,55,Susceptible,6
3,44,Infected,2
3,22,Infected,14
3,79,Susceptible,20
3,69,Infected,1
3,20,Susceptible,22
3,81,Infected,3
3,50,Infected,2
3,24,Susceptible,18
3,27,Infected,19
3,63,Susceptible,16
3,16,Susceptible,5
3,86,Infected,15
3,47,Susceptible,4
3,43,Susceptible,24
3,60,Exposed,15
3,38,Infected,13
3,2,Infected,9
3,53,Exposed,20
3,15,Susceptible,11
3,18,Infected,23
3,77,Infected,24
3,1,Infected,10
3,62,Exposed,6
3,36,Susceptible,12
3,17,Infected,23
3,57,Infected,2
3,56,Infected,6
3,89,Infected,12
3,52,Infected,22
3,41,Infected,22
3,26,Exposed,1
3,23,Infected,10
3,88,Susceptible,5
3,39,Exposed,16
3,9,Susceptible,22
3,82,Infected,16
3,68,Infected,11
3,75,Susceptible,10
3,72,Exposed,2
3,65,Infected,1
3,51,Susceptible,13
3,29,Infected,8
3,67,Infected,2
3,61,Exposed,16
3,34,Susceptible,4
3,4,Infected,16
3,59,Infected,18
3,76,Exposed,16
3,13,Infected,11
3,25,Exposed,1
3,58,Susceptible,24
4,49,Infected,22
4,3,Susceptible,18
4,81,Infected,2
4,62,Exposed,2
4,45,Susceptible,22
4,65,Infected,11
4,42,Infected,8
4,61,Exposed,10
4,0,Infected,7
4,74,Infected,14
4,80,Infected,18
4,66,Susceptible,20
4,40,Infected,20
4,33,Susceptible,10
4,37,Infected,14
4,79,Susceptible,4
4,53,Exposed,5
4,21,Infected,1
4,36,Susceptible,16
4,25,Exposed,7
4,43,Susceptible,11
4,11,Susceptible,2
4,39,Exposed,10
4,28,Exposed,11
4,2,Infected,17
4,75,Susceptible,12
4,26,Exposed,9
4,22,Infected,16
4,20,Susceptible,20
4,69,Infected,10
4,64,Susceptible,18
4,27,Infected,7
4,24,Susceptible,24
4,13,Infected,6
4,34,Susceptible,20
4,73,Infected,11
4,86,Infected,6
4,52,Infected,5
4,7,Infected,5
4,71,Susceptible,13
4,31,Infected,10
4,29,Infected,22
4,18,Infected,19
4,10,Susceptible,9
4,16,Susceptible,20
4,5,Infected,23
4,76,Exposed,18
4,9,Susceptible,11
4,8,Susceptible,10
4,55,Susceptible,3
4,17,Infected,1
4,67,Infected,5
