Step,AgentID,State,DistrictID
2,13,Infected,12
2,43,Susceptible,20
2,67,Infected,13
2,29,Susceptible,1
2,81,Susceptible,20
2,59,Exposed,6
2,83,Exposed,10
2,84,Infected,8
2,18,Infected,12
2,66,Exposed,17
2,61,Exposed,22
2,9,Infected,13
2,48,Exposed,23
2,86,Infected,24
2,69,Infected,17
2,21,Infected,13
2,24,Susceptible,8
2,31,Exposed,17
2,65,Infected,23
2,53,Susceptible,8
2,68,Exposed,12
2,6,Infected,22
2,73,Susceptible,3
2,7,Infected,22
2,42,Exposed,20
2,40,Susceptible,20
2,34,Infected,2
2,72,Exposed,2
2,1,Infected,4
2,89,Infected,19
2,49,Exposed,10
2,35,Exposed,13
2,64,Exposed,24
2,26,Infected,12
2,55,Infected,9
2,50,Infected,3
2,52,Exposed,8
2,39,Exposed,9
2,45,Infected,9
2,15,Infected,0
2,71,Infected,6
2,19,Susceptible,15
2,14,Susceptible,15
2,80,Exposed,13
2,58,Infected,17
2,41,Infected,4
2,87,Exposed,10
2,79,Infected,14
2,62,Susceptible,20
3,34,Infected,17
3,27,Exposed,20
3,75,Exposed,21
3,65,Infected,1
3,38,Infected,18
3,14,Exposed,8
3,0,Susceptible,22
3,54,Exposed,1
3,70,Exposed,3
3,29,Susceptible,0
3,30,Exposed,13
3,57,Infected,4
3,71,Infected,5
3,25,Infected,6
3,81,Susceptible,20
3,37,Infected,10
3,11,Infected,0
3,8,Exposed,13
3,78,Exposed,2
3,73,Susceptible,22
3,59,Exposed,9
3,67,Infected,20
3,4,Infected,4
3,87,Exposed,17
3,72,Exposed,17
3,23,Infected,8
3,46,Infected,18
3,36,Susceptible,2
3,21,Infected,14
3,84,Infected,4
3,39,Exposed,24
3,32,Susceptible,21
3,41,Infected,11
3,66,Exposed,23
3,16,Infected,22
3,77,Infected,5
3,68,Exposed,15
3,20,Infected,4
3,10,Infected,0
3,19,Susceptible,1
3,31,Exposed,6
3,79,Infected,17
3,63,Infected,15
3,85,Infected,10
3,45,Infected,5
3,51,Infected,23
3,56,Infected,1
3,3,Infected,13
3,86,Infected,11
3,55,Infected,8
3,7,Infected,13
3,33,Infected,5
3,76,Infected,13
3,12,Infected,17
3,26,Infected,1
3,43,Exposed,16
3,48,Exposed,13
3,40,Susceptible,5
3,61,Exposed,3
3,49,Exposed,14
3,62,Susceptible,16
3,80,Exposed,9
3,88,Susceptible,21
3,50,Infected,15
3,9,Infected,2
3,47,Infected,13
3,24,Exposed,9
3,53,Susceptible,16
3,58,Infected,23
3,18,Infected,24
3,83,Exposed,24
3,69,Infected,13
3,89,Infected,13
3,28,Infected,18
3,15,Infected,19
3,5,Susceptible,11
3,35,Exposed,3
3,74,Infected,17
3,52,Exposed,16
3,60,Infected,8
3,44,Exposed,24
3,2,Susceptible,19
3,13,Infected,16
3,64,Exposed,13
3,22,Infected,13
3,17,Infected,11
3,82,Infected,7
3,42,Exposed,11
3,1,Infected,8
3,6,Infected,19
4,19,Susceptible,15
4,66,Exposed,22
4,72,Exposed,3
4,52,Exposed,2
4,80,Exposed,12
4,89,Infected,24
4,73,Susceptible,3
4,42,Exposed,16
4,34,Infected,23
4,84,Infected,3
4,76,Infected,5
4,12,Infected,9
4,67,Infected,13
4,26,Infected,11
4,37,Infected,13
4,0,Susceptible,16
4,61,Exposed,22
4,1,Infected,9
4,51,Infected,23
4,75,Exposed,7
4,18,Infected,6
4,14,Exposed,20
4,11,Infected,5
4,28,Infected,24
4,30,Exposed,12
4,55,Infected,9
4,41,Infected,3
4,79,Infected,14
4,4,Infected,16
4,40,Exposed,1
4,36,Exposed,13
4,62,Susceptible,1
4,25,Infected,21
4,54,Exposed,8
4,6,Infected,22
4,43,Exposed,20
4,13,Infected,7
4,58,Infected,17
4,77,Infected,5
4,38,Infected,9
4,68,Exposed,12
4,29,Susceptible,22
4,22,Infected,18
4,82,Infected,18
4,10,Infected,19
4,15,Infected,0
4,5,Susceptible,15
4,81,Susceptible,20
4,87,Exposed,10
4,2,Exposed,14
4,8,Exposed,2
4,17,Infected,12
4,74,Infected,12
4,86,Infected,4
4,35,Exposed,13
4,59,Exposed,12
