Step,AgentID,State,DistrictID
248,2,Recovered,16
248,48,Susceptible,2
248,65,Susceptible,13
248,87,Dead,11
248,60,Susceptible,2
248,16,Dead,12
248,8,Dead,14
248,73,Recovered,4
248,9,Susceptible,23
248,33,Susceptible,1
248,79,Susceptible,1
249,57,Dead,24
249,11,Susceptible,21
249,75,Dead,9
249,82,Susceptible,2
249,20,Recovered,9
249,62,Recovered,11
249,88,Susceptible,8
249,68,Susceptible,7
249,42,Recovered,24
249,74,Susceptible,5
249,47,Dead,12
249,29,Dead,12
249,1,Susceptible,8
249,38,Susceptible,11
249,46,Dead,0
249,12,Dead,9
249,4,Susceptible,9
249,0,Susceptible,0
249,37,Dead,11
249,17,Dead,1
249,58,Recovered,5
249,54,Dead,8
249,7,Recovered,18
249,32,Recovered,20
249,56,Susceptible,0
249,13,Dead,7
249,85,Dead,3
249,18,Susceptible,6
249,48,Susceptible,22
249,67,Susceptible,22
249,52,Susceptible,6
249,51,Susceptible,24
249,45,Dead,21
249,69,Dead,3
249,77,Susceptible,18
249,39,Susceptible,7
249,22,Recovered,23
249,21,Dead,15
249,23,Dead,13
249,61,Dead,7
249,71,Dead,3
249,65,Susceptible,13
249,60,Susceptible,2
249,83,Susceptible,21
249,87,Dead,11
249,43,Susceptible,7
249,79,Susceptible,1
249,10,Susceptible,18
249,33,Susceptible,22
249,15,Recovered,4
249,53,Susceptible,6
249,89,Recovered,12
249,73,Recovered,4
249,44,Susceptible,17
249,55,Susceptible,1
249,27,Dead,6
249,5,Dead,8
249,76,Susceptible,24
249,63,Susceptible,10
249,28,Recovered,21
249,25,Dead,9
249,3,Susceptible,4
249,6,Susceptible,2
249,66,Susceptible,0
249,59,Recovered,4
249,78,Recovered,12
249,40,Dead,24
249,35,Susceptible,4
249,2,Recovered,15
249,24,Susceptible,6
249,86,Dead,18
249,9,Susceptible,23
249,72,Susceptible,19
249,31,Recovered,18
249,49,Dead,10
249,16,Dead,12
249,8,Dead,10
249,84,Dead,9
249,50,Recovered,9
249,26,Recovered,14
249,36,Dead,2
249,30,Dead,12
249,81,Susceptible,20
249,19,Recovered,1
249,34,Susceptible,24
249,41,Dead,12
249,14,Susceptible,23
249,80,Dead,16
249,70,Recovered,21
249,64,Susceptible,15
250,65,Susceptible,13
250,87,Dead,11
250,52,Susceptible,6
250,9,Susceptible,23
250,11,Susceptible,22
250,40,Dead,20
250,1,Susceptible,8
250,89,Recovered,8
250,70,Recovered,22
250,36,Dead,2
250,48,Susceptible,22
250,60,Susceptible,1
250,29,Dead,7
250,34,Susceptible,0
250,79,Susceptible,21
250,62,Recovered,11
250,32,Recovered,19
250,0,Susceptible,0
250,39,Susceptible,7
250,58,Recovered,6
250,25,Dead,5
250,4,Susceptible,14
250,73,Recovered,8
250,28,Recovered,21
250,6,Susceptible,22
250,81,Susceptible,20
250,12,Dead,9
250,74,Susceptible,5
250,26,Recovered,13
250,83,Susceptible,15
250,31,Recovered,18
250,88,Susceptible,13
250,3,Susceptible,24
250,84,Dead,9
