Step,AgentID,State,DistrictID
1,86,Susceptible,6
1,21,Infected,21
1,8,Susceptible,20
1,69,Infected,13
1,67,Infected,21
1,26,Susceptible,14
1,15,Susceptible,15
1,74,Infected,21
1,18,Susceptible,10
1,78,Susceptible,5
1,2,Infected,0
1,48,Infected,13
1,63,Infected,3
1,70,Infected,23
1,4,Infected,19
1,84,Susceptible,3
1,65,Infected,18
1,73,Infected,13
1,50,Susceptible,5
1,51,Infected,3
1,79,Susceptible,6
1,25,Infected,2
1,20,Infected,13
1,68,Infected,22
1,10,Susceptible,19
1,62,Infected,10
1,19,Infected,14
1,27,Infected,5
1,82,Susceptible,1
1,36,Infected,20
1,9,Infected,6
1,22,Infected,23
1,38,Infected,5
1,5,Infected,5
1,75,Susceptible,19
1,53,Infected,1
1,89,Susceptible,19
1,29,Infected,7
1,24,Susceptible,9
1,30,Infected,5
1,80,Susceptible,12
1,71,Infected,24
1,60,Susceptible,4
1,85,Infected,17
1,64,Susceptible,17
1,34,Susceptible,17
1,35,Infected,2
2,40,Susceptible,0
2,25,Infected,3
2,67,Infected,16
2,41,Susceptible,8
2,61,Infected,2
2,7,Infected,7
2,6,Infected,7
2,51,Infected,7
2,57,Susceptible,4
2,55,Infected,17
2,4,Infected,14
2,42,Infected,2
2,86,Susceptible,6
2,31,Susceptible,4
2,17,Infected,16
2,22,Infected,23
2,70,Infected,23
2,27,Infected,5
2,69,Infected,14
2,79,Susceptible,0
2,63,Infected,3
2,73,Infected,13
2,75,Susceptible,24
2,29,Infected,11
2,54,Susceptible,18
2,83,Infected,22
2,13,Susceptible,11
2,76,Susceptible,24
2,33,Susceptible,4
2,5,Infected,5
2,50,Susceptible,5
2,53,Infected,2
2,77,Susceptible,9
2,30,Infected,6
2,65,Infected,18
2,78,Susceptible,9
2,82,Susceptible,2
2,8,Susceptible,21
2,10,Susceptible,19
2,62,Infected,10
2,72,Infected,11
2,21,Infected,21
2,46,Susceptible,13
2,37,Infected,7
2,14,Susceptible,18
2,56,Infected,9
2,85,Infected,13
2,2,Infected,0
2,34,Susceptible,17
2,74,Infected,21
2,68,Infected,22
2,3,Susceptible,0
2,20,Infected,13
2,11,Susceptible,15
2,87,Susceptible,17
2,28,Infected,2
2,48,Infected,13
2,32,Susceptible,15
2,16,Infected,0
2,39,Infected,22
2,18,Susceptible,10
2,38,Infected,6
2,64,Susceptible,17
2,81,Infected,8
2,9,Infected,6
2,23,Infected,17
2,12,Susceptible,15
2,88,Susceptible,14
2,19,Infected,14
2,80,Susceptible,11
2,26,Susceptible,9
2,89,Susceptible,19
2,36,Infected,21
2,0,Susceptible,7
2,35,Infected,2
2,44,Infected,15
2,1,Susceptible,4
2,15,Susceptible,15
2,58,Susceptible,5
2,24,Susceptible,9
2,47,Infected,22
2,43,Susceptible,3
2,71,Infected,20
2,66,Infected,10
2,59,Infected,15
2,84,Susceptible,2
2,52,Susceptible,6
2,49,Infected,24
2,45,Infected,0
2,60,Susceptible,3
3,73,Infected,13
3,46,Susceptible,8
3,56,Infected,14
3,7,Infected,7
3,37,Infected,12
3,67,Infected,15
3,10,Susceptible,19
3,16,Infected,0
3,33,Susceptible,4
3,13,Susceptible,11
3,20,Infected,14
3,31,Susceptible,5
3,78,Susceptible,5
3,36,Infected,1
3,52,Susceptible,0
3,12,Susceptible,15
3,85,Infected,18
3,48,Infected,13
3,80,Susceptible,11
3,26,Susceptible,5
3,22,Infected,2
3,62,Infected,11
3,69,Infected,13
3,39,Infected,22
3,87,Susceptible,17
3,59,Infected,10
